                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5857,                  3.665,                 2.0208,                 0.1205,                0.11795,                0.05052,                0.01829,                 2.4588,                 3.4398,                 2.0869,             0.00055377,             0.00055377,             0.00055377
                      2,                 2.4903,                 3.0788,                 1.9581,                0.54974,                0.05432,                0.02726,                0.01038,                 2.6128,                 3.9038,                 2.1206,               0.001082,               0.001082,               0.001082
                      3,                 2.4339,                 2.9261,                 1.9234,                 0.2104,                0.16997,                0.07165,                0.02556,                 2.5095,                 3.6395,                 2.2746,              0.0015827,              0.0015827,              0.0015827
                      4,                 2.3803,                 2.8323,                 1.8888,                 0.1474,                0.15888,                0.08234,                0.02556,                 2.3987,                 2.8801,                 2.2389,              0.0015432,              0.0015432,              0.0015432
                      5,                 2.3593,                 2.7869,                 1.8936,                 0.2318,                0.19413,                0.13809,                0.04987,                 2.4576,                 3.1088,                 2.1239,              0.0015432,              0.0015432,              0.0015432
                      6,                 2.3127,                 2.7451,                 1.8503,                0.25495,                0.17046,                0.10794,                0.03817,                 2.2627,                 3.0605,                 2.0127,               0.001502,               0.001502,               0.001502
                      7,                 2.2419,                 2.6559,                 1.8232,                0.16774,                0.20607,                0.09652,                0.03538,                  2.323,                 2.9235,                 2.0837,              0.0014607,              0.0014607,              0.0014607
                      8,                 2.2335,                 2.6154,                 1.8135,                0.26038,                0.21661,                0.14308,                0.05591,                 2.2437,                 2.9143,                 1.9789,              0.0014195,              0.0014195,              0.0014195
                      9,                 2.1922,                 2.5835,                 1.7819,                0.25834,                 0.2142,                0.14014,                0.05344,                 2.2328,                 2.8633,                 2.1097,              0.0013782,              0.0013782,              0.0013782
                     10,                 2.1449,                 2.5274,                 1.7491,                0.22987,                0.24106,                0.12656,                0.04908,                 2.3178,                 3.1245,                 2.1195,              0.0013369,              0.0013369,              0.0013369
                     11,                 2.1351,                 2.4698,                 1.7526,                0.25592,                0.22011,                0.15136,                 0.0617,                 2.2272,                 2.8588,                 1.9993,              0.0012957,              0.0012957,              0.0012957
                     12,                 2.0896,                 2.3691,                 1.7178,                0.44428,                0.07978,                0.06665,                0.02601,                 2.3781,                 3.6122,                 2.0791,              0.0012544,              0.0012544,              0.0012544
                     13,                 2.0807,                  2.387,                 1.7152,                0.30408,                0.17149,                0.15798,                0.06489,                 2.2172,                 2.8867,                 2.0749,              0.0012132,              0.0012132,              0.0012132
                     14,                 2.0395,                 2.2936,                 1.6841,                0.28878,                0.18406,                0.14712,                0.05838,                 2.2367,                 3.0609,                 1.9988,              0.0011719,              0.0011719,              0.0011719
                     15,                 2.0219,                 2.2902,                 1.6717,                 0.3444,                0.20521,                0.13974,                0.05818,                 2.2051,                 3.0718,                 1.9846,              0.0011306,              0.0011306,              0.0011306
                     16,                  1.981,                 2.2144,                 1.6554,                0.29724,                 0.2164,                0.19584,                 0.0926,                 2.1479,                 2.7107,                 1.9944,              0.0010894,              0.0010894,              0.0010894
                     17,                 1.9551,                 2.1724,                 1.6347,                0.36508,                0.22252,                0.21489,                0.09034,                 2.2024,                 2.7963,                 1.9906,              0.0010481,              0.0010481,              0.0010481
                     18,                  1.939,                 2.0939,                 1.6166,                0.35225,                0.22599,                 0.2259,                0.11008,                 2.1054,                 2.7849,                 1.9447,              0.0010069,              0.0010069,              0.0010069
                     19,                 1.9101,                 2.0841,                 1.5969,                0.43841,                0.24705,                0.26123,                0.12776,                 2.0712,                 2.7426,                 1.9721,             0.00096561,             0.00096561,             0.00096561
                     20,                 1.8928,                 2.0292,                 1.5949,                0.41785,                0.23833,                0.25621,                0.11984,                 2.0935,                 2.5592,                  1.928,             0.00092435,             0.00092435,             0.00092435
                     21,                 1.8848,                 2.0151,                 1.5832,                0.31502,                0.28734,                0.25074,                0.13101,                 2.0947,                 2.6564,                  1.892,             0.00088309,             0.00088309,             0.00088309
                     22,                  1.848,                  1.976,                 1.5695,                0.36666,                0.26674,                0.24886,                0.12334,                 2.0888,                 2.5974,                 2.0127,             0.00084184,             0.00084184,             0.00084184
                     23,                 1.7988,                  1.918,                 1.5475,                0.44873,                0.29949,                0.29126,                0.14769,                  2.061,                 2.6877,                 1.9232,             0.00080058,             0.00080058,             0.00080058
                     24,                 1.7715,                 1.8764,                 1.5254,                0.38121,                0.28905,                0.26577,                 0.1381,                 2.0218,                 2.6757,                  1.886,             0.00075932,             0.00075932,             0.00075932
                     25,                 1.7602,                 1.8229,                 1.5133,                 0.5706,                0.25577,                0.28959,                0.14643,                 2.0529,                 2.7094,                 1.9256,             0.00071806,             0.00071806,             0.00071806
                     26,                 1.7365,                 1.7755,                 1.4974,                0.42408,                0.30089,                0.30186,                0.15744,                 2.0471,                  2.671,                 1.9099,              0.0006768,              0.0006768,              0.0006768
                     27,                 1.7352,                 1.7871,                 1.5072,                 0.5481,                0.27953,                0.31722,                0.15424,                   2.05,                 2.5267,                 1.9536,             0.00063554,             0.00063554,             0.00063554
                     28,                 1.7206,                 1.7598,                 1.4974,                0.48678,                0.28739,                0.30968,                0.15887,                 2.0586,                 2.5943,                 1.8852,             0.00059429,             0.00059429,             0.00059429
                     29,                 1.7393,                 1.7954,                 1.4938,                0.58137,                0.24032,                0.29425,                0.15278,                 2.0597,                 2.7016,                 1.8828,             0.00059429,             0.00059429,             0.00059429
